Country,Region,Income_Level,Population_Millions,Import_Dependency_Percentage,Export_Revenue_Billion_USD,Year,GDP_Growth_Rate,Inflation_Rate,Food_Inflation_Rate,Fuel_Price_Index,Currency_Exchange_Rate_vs_USD,Forex_Reserves_Billion_USD,External_Debt_to_GDP,Interest_Rate,Government_Spending_Pct_GDP,Money_Supply_Growth,Unemployment_Rate,Poverty_Rate,War_Conflict_Flag,Political_Instability_Score,Supply_Chain_Disruption_Score,Oil_Dependency_Score,Tourism_Revenue_Loss_Pct,Global_Trade_Disruption_Index,Grocery_Price_Index,Transportation_Cost_Index,Travel_Cost_Index,Housing_Cost_Index,Consumer_Purchasing_Power,Currency_Devaluation_Percentage,Sovereign_Default_Risk_Score,Economic_Collapse_Probability,Inflation_Crisis_Level,Recovery_Potential_Score,Is_Future_Prediction,Policy_Intervention_Flag,Composite_Risk_Score,High_Risk_Flag,Debt_to_Forex_Ratio,Economic_Status
Sri Lanka,South Asia,Lower-Middle,22,47,12,2000,5.75,5.75,7.64,66.3,200,65.64,83.8,8.73,38.7,4.2,8.2,23.5,0,3,2,6,0,2.4,99.9,93,86.5,93.1,99.9,0,13.6,45.86,Medium,50.6,0,0,28.92,0,1.28,Moderate
Sri Lanka,South Asia,Lower-Middle,22,47,12,2001,4.6,4.24,4.63,51.8,203.419,65.64,83.8,9.4,38.3,4.7,3.8,25.7,0,1,4,6,0,3.2,91.6,84.1,77.4,92.5,101.6,1.71,11.6,99,Low,95,0,1,35.48,1,1.28,In Crisis
Sri Lanka,South Asia,Lower-Middle,22,47,12,2002,4.31,7.9,10.02,48.1,208.697,65.64,83.3,8.28,41.8,9.3,7.1,24.7,0,2,3,6,5,2.3,113.6,78.5,92.1,103.4,96.6,2.59,9.9,99,Medium,95,0,0,38.58,1,1.27,In Crisis
Sri Lanka,South Asia,Lower-Middle,22,47,12,2003,5.54,8.77,10.46,64.5,210.425,65.64,84,9.48,39.3,10.8,5.2,18,0,3,5,6,4.8,3.2,108.7,86.7,98.8,121.7,98.7,0.83,16.7,99,Medium,95,0,1,43.44,1,1.28,In Crisis
Sri Lanka,South Asia,Lower-Middle,22,47,12,2004,4.41,3.37,4.24,66.9,215.482,65.64,83.3,9.05,45.1,3.5,4.3,20.4,0,3,5,6,1.5,2.3,96,93.4,91.1,85.6,101.8,2.4,14.8,99,Low,95,0,0,42.12,1,1.27,In Crisis
Sri Lanka,South Asia,Lower-Middle,22,47,12,2005,6.71,7.35,9.98,75.6,222.467,65.64,83.3,9.91,36.8,11.3,3,20.9,0,2,1,6,0,3.6,107.4,92,105.3,103.5,102.7,3.24,18.1,99,Medium,95,0,0,40.54,1,1.27,In Crisis
Sri Lanka,South Asia,Lower-Middle,22,47,12,2006,2.59,6.33,7.93,86.9,226.155,65.64,84.2,8.41,40.1,11.1,5.5,22.7,0,3,3,6,0,3.3,100.4,113.5,107.8,98.8,96.1,1.66,17.3,99,Medium,95,0,0,43.23,1,1.28,In Crisis
Sri Lanka,South Asia,Lower-Middle,22,47,12,2007,6.23,9.41,10.83,84.7,230.376,65.64,84.5,9.96,39.9,12.7,5.6,23.7,0,5,2,6,0,1.1,126.8,105.9,106.4,107.5,99,1.87,21.3,99,Medium,95,0,0,50.71,1,1.29,In Crisis
Sri Lanka,South Asia,Lower-Middle,22,47,12,2008,2.33,9.04,11.24,128.7,236.144,65.64,84,10.55,49.3,12.6,5.1,19.7,0,3,5,6,10.2,6.4,117.4,122.3,122.9,119.2,93.7,2.5,17.3,99,Medium,95,0,1,43.63,1,1.28,In Crisis
Sri Lanka,South Asia,Lower-Middle,22,47,12,2009,2.03,7.87,8.23,39.6,241.124,65.64,87.7,8.94,35.8,15.9,6.4,18.8,0,4,4,6,9.2,6.4,103.2,72.2,93,106.3,93.5,2.11,18.6,99,Medium,95,0,0,46.97,1,1.34,In Crisis
Sri Lanka,South Asia,Lower-Middle,22,47,12,2010,4.01,7.53,7.84,78.7,247.642,65.64,87.2,12.93,35.6,10.4,4.1,20.7,0,3,1,6,3.9,2.2,112.2,109.8,109.7,99.2,97.9,2.7,14.4,99,Medium,95,0,0,42.84,1,1.33,In Crisis
